ID,session,id,clickCnt,killCnt,killRate_1or2,killRate_3or4,killRate_6or7,date
44,3,132,478.20885411659583,7,0.9999999974264472,0.9999999317795519,1.112235698752e-311,2025-06-15
45,1,133,505.7406023268828,6,1.0281285078228078e-18,1.0487215329415986e-124,2.622303071664635e-65,2025-08-12
45,2,134,511.7638338728112,8,1,1,1,2025-08-19
45,3,135,443.92468723186335,4,1,1.2911251593113357e-77,0.9999999999972755,2025-08-26
46,1,136,445.0027033715848,6,1,2.5132168150283924e-124,1.112235698752e-311,2025-03-06
46,2,137,438.9360198917776,9,0.9443700314015118,1,4.445639004392585e-181,2025-03-13
46,3,138,479.9874131422915,4,1,8.934806988421924e-11,1.8559016359135717e-44,2025-03-20
47,1,139,481.8398837307682,9,1,6.845450675532741e-33,1,2025-03-16
47,2,140,410.6664506961788,3,1,0.009385422190543696,7.642963740958304e-305,2025-03-23
47,3,141,387.09248520487773,10,1,7.270880482372426e-64,4.878421403402024e-118,2025-03-30
48,1,142,504.0967519801238,7,1,7.998281195975542e-167,9.801501862982264e-142,2025-06-20
48,2,143,412.9599245110896,4,2.3046552141214115e-50,1.3026505761871068e-27,1.112235698752e-311,2025-06-27
48,3,144,491.3288504663927,5,1,2.9755094231993543e-25,1,2025-07-04
49,1,145,474.308639564741,6,0.999999999999999,0.9999999999920405,3.9606567305318633e-125,2025-05-17
49,2,146,455.7249914743443,4,0.9754108738222476,7.383156614972379e-28,3.1652152726697816e-42,2025-05-24
49,3,147,425.116251665977,6,1,1,4.217965530626446e-61,2025-05-31
50,1,148,432.4700089318335,7,1,1.8157100595532684e-67,0.9999999999931263,2025-07-24
50,2,149,339.66627111034745,6,1,4.590603356175295e-32,3.016528202994242e-23,2025-07-31
50,3,150,507.91825914845464,6,1,6.620957680472802e-89,7.593884917940321e-4,2025-08-07
